respkeys,correctness,reactionTime,stimuli_locs,TotolSetSize,trialType,userID,gender,age,ethinicity,handness
left,correct,7999,"[2,1,3,4]",4,experiment,1,Male,18,Asian,Right
left,correct,2220,"[1,3,2,0,4]",5,experiment,1,Male,18,Asian,Right
right,correct,821,"[3,0,2]",3,experiment,1,Male,18,Asian,Right
left,correct,719,"[4,3,2]",3,experiment,1,Male,18,Asian,Right
left,correct,811,"[2,0,3,4,1]",5,experiment,1,Male,18,Asian,Right
